PassengerFirstName;PassengerSecondName;PassengerLastName;PassengerSex;PassengerBirthDate;PassengerDocument;BookingCode;TicketNumber;Baggage;FlightDate;FlightTime;FlightNumber;CodeShare;Destination
ALLA;AMIROVNA;FOMICHEVA;Female;06/21/1975;2 708 394 334;Not presented;Not presented;Transit;17.11.2017;5:35;SU1763;Own;Moscow
ELISEI;T.;OVSIANNIKOV;Male;01/29/1980;6 754 245 225;BZCAUT;Not presented;Delayed;17.11.2017;5:35;SU1763;Own;Moscow
ANASTASIIA;K.;ZVIAGINTSEVA;Female;06.04.1982;5 329 128 467;TCKTIH;Not presented;Delayed;02.10.2017;17:10;SU1125;Own;Moscow
AMELIIA;E.;SKVORTSOVA;Female;11/24/1980;2 512 614 640;Not presented;2,34601E+14;Delayed;11.07.2017;7:05;SU1513;Own;Moscow
KIRA;SVIATOGOROVNA;SAFONOVA;Female;02.11.1991;9 295 674 504;Not presented;Not presented;None;11.07.2017;7:05;SU1513;Own;Moscow
KARINA;MAKAREVNA;SEREBRIAKOVA;Female;01/31/1984;9 596 135 000;VGVLGU;Not presented;Registered;11.07.2017;7:05;SU1513;Own;Moscow
IGOR;R.;LUKIANOV;Male;09/17/1981;5 298 581 934;WMUKHD;2,75952E+15;Registered;11.07.2017;7:05;SU1513;Own;Moscow
ODISSEI;VLADIMIROVICH;SIMONOV;Male;04.05.1970;6 788 402 722;MYABYI;Not presented;None;01.10.2017;6:05;SU1217;Own;Moscow
ALBINA;PETROVNA;MIRONOVA;Female;06/20/1989;2 322 541 128;Not presented;Not presented;None;20.03.2017;17:10;SU1125;Own;Moscow
MELANIIA;T.;LAPINA;Female;04/13/1989;1 808 897 599;XOFBJQ;Not presented;Delayed;14.06.2017;17:15;SU1144;Own;Anapa
VLADISLAV;N.;BORODIN;Male;09/27/1973;4 559 232 845;PTXXFG;5,89698E+15;Transit;03.03.2017;9:20;SU6292;Own;Moscow
MILANA;A.;DAVYDOVA;Female;11/14/1991;557 553 698;LGMEAM;2,85025E+15;Registered;26.03.2017;8:00;SU1145;Own;Moscow
IVAN;MIRONOVICH;ROZANOV;Male;03/26/1998;6 256 996 083;ZIDKPZ;Not presented;Transit;21.01.2017;13:25;SU1731;Own;Moscow
LIANA;I.;LUKINA;Female;03/23/1977;532 107 771;ETJGVP;4,04105E+15;Delayed;04.05.2017;1:40;SU1108;Own;Krasnodar
NIKOLAI;V.;BYCHKOV;Male;11/21/1984;9 619 111 284;Not presented;Not presented;Delayed;04.05.2017;1:40;SU1108;Own;Krasnodar
MARINA;FEDOROVNA;MALININA;Female;09/30/1997;8 431 225 413;BSMEWQ;2,43771E+15;Registered;08.08.2017;7:30;SU1395;Own;Moscow
VIACHESLAV;EMILEVICH;VORONIN;Male;10/22/1974;3 668 753 452;RIRHHS;Not presented;Transit;12.03.2017;7:05;SU1431;Own;Moscow
ARTEMII;GRIGOREVICH;ALEKSEEV;Male;06.05.1997;8 272 146 614;Not presented;Not presented;Transit;07.03.2017;5:00;SU1167;Own;Moscow
RUSTAM;IGNATOVICH;SIZOV;Male;06.09.1991;8 634 167 429;LEQFBR;Not presented;Registered;07.03.2017;5:00;SU1167;Own;Moscow
TAMARA;S.;FILIMONOVA;Female;07.02.2000;6 054 351 959;Not presented;2,73232E+15;Registered;07.03.2017;5:00;SU1167;Own;Moscow
VALENTINA;ILDAROVNA;BELIAKOVA;Female;11/18/1972;8 476 727 199;ZNHUVR;6,2643E+14;Delayed;07.03.2017;5:00;SU1167;Own;Moscow
LIUDMILA;RAMILEVNA;SIZOVA;Female;12.08.1989;8 954 478 243;Not presented;Not presented;Delayed;29.07.2017;13:05;SU4600;Operated;Khabarovsk
ROMAN;D.;MAKSIMOV;Male;11.04.1995;3 466 808 546;XMQJYR;4,60296E+15;None;07.06.2017;7:05;SU1431;Own;Moscow
MARAT;E.;VERESHCHAGIN;Male;08/23/1978;6 951 491 742;Not presented;Not presented;Registered;07.06.2017;7:05;SU1431;Own;Moscow
NINA;V.;SUKHANOVA;Female;08/26/1982;1 438 301 898;UFJCVM;Not presented;None;14.02.2017;15:20;SU1641;Own;Moscow
TAMARA;FILIPPOVNA;EGOROVA;Female;06.12.1982;5 455 791 120;FHKULU;7,98139E+15;Delayed;14.02.2017;15:20;SU1641;Own;Moscow
GRIGORII;VSEVOLODOVICH;MESHCHERIAKOV;Male;01.03.1983;7 230 416 183;GTLSSP;Not presented;Transit;14.02.2017;15:20;SU1641;Own;Moscow
BOGDAN;S.;DUBOV;Male;11.09.1989;3 616 692 590;OTNLYF;5,03066E+15;Delayed;14.02.2017;15:20;SU1641;Own;Moscow
SVIATOSLAV;D.;POKROVSKII;Male;06/25/1996;8 663 357 259;VHTLXO;Not presented;None;15.11.2017;3:10;SU1181;Own;Moscow
NIKITA;MARKOVICH;SALNIKOV;Male;05/24/1978;9 679 942 167;Not presented;9,22363E+15;Delayed;17.08.2017;12:10;SU4606;Operated;Khabarovsk
AMELIIA;SAVELEVNA;CHUMAKOVA;Female;01/18/1998;7 134 725 616;Not presented;7,28465E+15;Registered;23.03.2017;0:30;SU1508;Own;Tyumen
MAKSIM;K.;STOLIAROV;Male;03/16/1984;834 239 198;EMTJGN;Not presented;Delayed;26.03.2017;20:20;SU5624;Own;Yuzhno
MAKSIM;R.;MERKULOV;Male;06/15/1998;4 138 361 760;QUYFRO;Not presented;Registered;26.03.2017;20:20;SU5624;Own;Yuzhno
MILANA;ALBERTOVNA;SERGEEVA;Female;02/17/1987;9 610 849 525;DGCTRV;Not presented;None;18.01.2017;10:25;SU5610;Own;Yuzhno
VIACHESLAV;TIMUROVICH;SVESHNIKOV;Male;04.04.1977;8 306 644 972;KUGHPC;Not presented;Transit;01.03.2017;23:10;SU1261;Own;Moscow
IURII;GEORGIEVICH;SEMIN;Male;05.05.1995;7 948 851 468;Not presented;Not presented;Transit;01.03.2017;23:10;SU1261;Own;Moscow
LILIIA;T.;TIKHOMIROVA;Female;09.06.1978;4 777 726 248;OHJZHO;2,44132E+15;Delayed;01.03.2017;23:10;SU1261;Own;Moscow
ALINA;TIMUROVNA;BORODINA;Female;11/20/1973;6 458 706 879;SDKGFX;7,08187E+15;Transit;29.04.2017;19:25;SU5642;Own;Novosibirsk
RINAT;ROMANOVICH;ANISIMOV;Male;05.12.1992;6 468 393 450;Not presented;Not presented;None;05.09.2017;17:25;SU1403;Own;Moscow
ANATOLII;F.;KONDRATOV;Male;02.05.1970;1 412 601 525;OENNSA;Not presented;Registered;12.01.2017;2:50;SU1251;Own;Nizhnekamsk
EVGENIIA;D.;SHCHUKINA;Female;09/28/1987;31 331 441;Not presented;Not presented;Transit;12.01.2017;2:50;SU1251;Own;Nizhnekamsk
ARSENII;SVIATOSLAVOVICH;SITNIKOV;Male;08.11.1975;8 295 760 019;Not presented;Not presented;Registered;31.01.2017;12:35;SU1371;Own;Moscow
DEMID;ROMANOVICH;TROITSKII;Male;06/16/1984;2 595 143 278;Not presented;Not presented;None;19.04.2017;12:35;SU1211;Own;Moscow
RAMIL;D.;KRUGLOV;Male;04/20/1971;8 063 081 529;Not presented;4,12337E+15;Transit;19.04.2017;12:35;SU1211;Own;Moscow
PETR;IANOVICH;LEONTEV;Male;05.03.1994;5 450 688 176;FLWRFB;Not presented;Registered;19.04.2017;12:35;SU1211;Own;Moscow
ARIANA;S.;IASHINA;Female;07/19/1974;2 998 579 995;IIONZQ;2,04452E+15;Transit;17.07.2017;3:50;SU1009;Own;Moscow
RUSLAN;P.;BASOV;Male;05/18/1978;7 574 442 722;Not presented;Not presented;Transit;17.07.2017;3:50;SU1009;Own;Moscow
IVAN;L.;KUZNETSOV;Male;12/20/1987;8 329 265 263;Not presented;Not presented;Transit;27.06.2017;14:20;SU1464;Own;Saransk
SERGEI;A.;SNEGIREV;Male;01/20/1979;809 405 757;Not presented;Not presented;Delayed;15.03.2017;14:35;SU1248;Own;Orenburg
ARIANA;R.;NEFEDOVA;Female;10.10.1972;9 895 976 069;XNKGZT;Not presented;None;15.03.2017;14:35;SU1248;Own;Orenburg
DAMIR;R.;PONOMAREV;Male;05.05.1984;4 779 047 867;Not presented;7,12515E+15;None;15.03.2017;14:35;SU1248;Own;Orenburg
DANILA;I.;GALKIN;Male;11/26/1989;4 405 704 644;WICTVO;Not presented;Transit;31.01.2017;6:05;SU1397;Own;Moscow
AGATA;ARSENEVNA;MINAEVA;Female;10.07.1988;1 289 880 817;MZFKGZ;9,78643E+15;None;31.01.2017;6:05;SU1397;Own;Moscow
SOFIIA;DANIELEVNA;TRIFONOVA;Female;01/23/1987;8 303 159 885;Not presented;9,61096E+15;Registered;31.01.2017;6:05;SU1397;Own;Moscow
NAZAR;T.;NEFEDOV;Male;02.12.1976;9 278 702 340;Not presented;Not presented;Transit;31.01.2017;6:05;SU1397;Own;Moscow
MAKSIM;I.;MOLCHANOV;Male;02.03.1980;4 971 654 617;Not presented;Not presented;None;31.01.2017;6:05;SU1397;Own;Moscow
DANIEL;D.;KRAVTSOV;Male;06.02.1980;1 803 515 259;ETIXMC;Not presented;Delayed;31.01.2017;6:05;SU1397;Own;Moscow
MAKSIM;Z.;KARTASHOV;Male;01/21/1970;670 684 443;JLXPWW;8,02309E+15;Registered;02.01.2017;12:20;SU1191;Own;Moscow
VALERII;R.;TSAREV;Male;10/19/2000;8 794 083 189;SKFMAY;Not presented;Registered;02.01.2017;12:20;SU1191;Own;Moscow
NIKITA;D.;SUVOROV;Male;04.11.1975;5 460 618 335;IGZNXZ;Not presented;Registered;02.01.2017;12:20;SU1191;Own;Moscow
ALEKSANDRA;OLEGOVNA;GLEBOVA;Female;04.12.1995;8 624 170 245;ULFGAB;Not presented;Transit;02.01.2017;12:20;SU1191;Own;Moscow
IULIIA;ROSTISLAVOVNA;RODINA;Female;11/24/1996;1 884 373 759;KUURBZ;4,03868E+15;Transit;02.01.2017;12:20;SU1191;Own;Moscow
MAKSIM;L.;CHERNIAEV;Male;12/28/1973;6 401 005 380;FFOLMC;6,72942E+15;None;20.07.2017;14:10;SU1135;Own;Moscow
KONSTANTIN;VLADISLAVOVICH;PAVLOVSKII;Male;04/15/1980;1 669 679 672;Not presented;Not presented;Delayed;26.04.2017;9:55;SU1443;Own;Moscow
KAMILLA;P.;EGOROVA;Female;03/23/1988;6 471 599 546;YTUYLG;8,42594E+15;Transit;06.02.2017;12:20;SU1053;Own;Moscow
VADIM;ZAKHAROVICH;GORBUNOV;Male;09/15/2000;3 823 495 710;Not presented;9,89743E+15;Registered;06.02.2017;12:20;SU1053;Own;Moscow
INNA;L.;KOROTKOVA;Female;09/13/1999;4 732 398 727;Not presented;3,26438E+14;Registered;06.02.2017;12:20;SU1053;Own;Moscow
ROBERT;ROBERTOVICH;AKIMOV;Male;09/18/1982;8 316 706 629;Not presented;Not presented;Registered;06.02.2017;12:20;SU1053;Own;Moscow
EKATERINA;L.;MEDVEDEVA;Female;01/20/1976;8 001 957 896;Not presented;9,33033E+14;Transit;06.02.2017;12:20;SU1053;Own;Moscow
DARINA;MARKOVNA;TRETIAKOVA;Female;03.11.1998;4 811 647 568;PNXOPL;Not presented;None;06.02.2017;12:20;SU1053;Own;Moscow
GORDEI;S.;SUSLOV;Male;07/27/1990;1 997 276 152;Not presented;Not presented;Registered;06.02.2017;12:20;SU1053;Own;Moscow
MARSEL;MIROSLAVOVICH;KASIANOV;Male;04/15/1977;1 883 098 614;TZAOAH;8,71535E+15;None;06.02.2017;12:20;SU1053;Own;Moscow
IANA;A.;GRACHEVA;Female;07/29/1991;3 391 963 429;SRHXTV;Not presented;Delayed;13.01.2017;8:05;SU1459;Own;Moscow
ELISEI;T.;ZORIN;Male;03/20/1979;1 744 952 182;RGYZHS;Not presented;Transit;13.01.2017;8:05;SU1459;Own;Moscow
GALINA;DAVIDOVNA;ABRAMOVA;Female;07/13/1995;1 931 551 851;DHWQUS;Not presented;Transit;13.01.2017;8:05;SU1459;Own;Moscow
IURII;IAROSLAVOVICH;NIKOLAEV;Male;07.04.1991;3 194 019 242;Not presented;Not presented;Registered;13.01.2017;8:05;SU1459;Own;Moscow
VLADISLAVA;F.;KRUGLOVA;Female;04/13/1989;7 147 202 613;WUVYUX;Not presented;None;13.01.2017;8:05;SU1459;Own;Moscow
GLEB;OLEGOVICH;KULESHOV;Male;11.08.1979;5 269 297 714;PQSFAO;Not presented;Transit;13.01.2017;8:05;SU1459;Own;Moscow
SAVVA;ZAKHAROVICH;KOLESOV;Male;09/18/1999;4 123 441 953;QQGINJ;Not presented;Delayed;13.01.2017;8:05;SU1459;Own;Moscow
TIMOFEI;R.;MALININ;Male;08/13/1970;7 288 324 460;Not presented;Not presented;Delayed;13.01.2017;8:05;SU1459;Own;Moscow
DANILA;I.;SELIVANOV;Male;08/19/1994;400 782 744;Not presented;9,57826E+15;Transit;13.01.2017;8:05;SU1459;Own;Moscow
SVETLANA;PLATONOVNA;ZUEVA;Female;07.03.1987;1 575 693 652;Not presented;4,03303E+15;Transit;13.01.2017;8:05;SU1459;Own;Moscow
EMILIIA;STANISLAVOVNA;KARASEVA;Female;10/20/1985;256 680 067;IUAHQJ;1,11483E+15;Delayed;13.01.2017;8:05;SU1459;Own;Moscow
SEMEN;RINATOVICH;BOCHAROV;Male;12.06.1974;34 278 597;DFTILP;6,58602E+15;None;13.01.2017;8:05;SU1459;Own;Moscow
BORIS;A.;TSVETKOV;Male;03.12.1982;1 088 195 567;FCZEOD;Not presented;Transit;13.01.2017;8:05;SU1459;Own;Moscow
ADELINA;BOGDANOVNA;KOLOSOVA;Female;05/19/1973;1 978 742 494;MTKNHD;Not presented;Delayed;13.01.2017;8:05;SU1459;Own;Moscow
NINA;F.;NIKOLSKAIA;Female;12/13/1993;9 521 231 902;Not presented;Not presented;Transit;13.01.2017;8:05;SU1459;Own;Moscow
SAMIR;A.;SITNIKOV;Male;10/31/1971;9 394 302 550;Not presented;7,23377E+15;Registered;13.01.2017;8:05;SU1459;Own;Moscow
ZARINA;D.;ASTAFEVA;Female;05/24/1974;3 093 126 786;Not presented;1,66205E+15;None;13.01.2017;8:05;SU1459;Own;Moscow
OLEG;VLADEVICH;BYKOV;Male;01/23/1999;3 276 602 860;Not presented;Not presented;Delayed;13.01.2017;8:05;SU1459;Own;Moscow
STANISLAV;ALEKSEEVICH;FILIMONOV;Male;04.11.1984;1 808 822 155;Not presented;Not presented;None;13.01.2017;8:05;SU1459;Own;Moscow
VERONIKA;MIKHAILOVNA;BESSONOVA;Female;01/22/1990;2 691 728 189;CJXVTG;Not presented;Transit;13.01.2017;8:05;SU1459;Own;Moscow
MARIANA;ILINICHNA;CHERKASOVA;Female;06/18/1995;4 355 510 265;Not presented;4,03287E+15;Delayed;13.01.2017;8:05;SU1459;Own;Moscow
MAIIA;V.;TIKHOMIROVA;Female;09/24/1992;6 192 569 081;VQCVRM;5,08699E+15;Delayed;13.01.2017;8:05;SU1459;Own;Moscow
LEONID;A.;BORISOV;Male;09/15/1971;5 524 738 294;KZRQVZ;Not presented;None;13.01.2017;8:05;SU1459;Own;Moscow
MAKSIM;I.;IGNATEV;Male;11/30/1993;6 006 653 903;Not presented;Not presented;None;13.01.2017;8:05;SU1459;Own;Moscow
OLGA;IAROMIROVNA;GORLOVA;Female;10/29/1970;8 618 906 766;WNROBZ;2,07277E+15;Transit;13.01.2017;8:05;SU1459;Own;Moscow
AMIR;D.;RYZHOV;Male;01.07.1988;2 634 721 977;Not presented;Not presented;Registered;13.01.2017;8:05;SU1459;Own;Moscow
DENIS;ILDAROVICH;SAMOILOV;Male;09/29/1982;735 568 732;AUZBRX;Not presented;Registered;13.01.2017;8:05;SU1459;Own;Moscow
DAVID;I.;KARASEV;Male;12/28/1990;8 282 250 135;Not presented;6,86616E+14;None;13.01.2017;8:05;SU1459;Own;Moscow
DIANA;SAVVOVNA;ILINSKAIA;Female;08.10.1974;1 163 441 953;Not presented;Not presented;None;13.01.2017;8:05;SU1459;Own;Moscow
OLGA;RAMILEVNA;ARKHIPOVA;Female;11.03.1999;3 786 206 451;Not presented;Not presented;Delayed;13.01.2017;8:05;SU1459;Own;Moscow
KIRILL;DMITRIEVICH;BULGAKOV;Male;11/23/1993;1 556 064 005;WRRCQC;7,75779E+15;Transit;13.01.2017;8:05;SU1459;Own;Moscow
NIKOLAI;I.;GUROV;Male;08.06.1987;8 026 996 881;Not presented;Not presented;Registered;13.01.2017;8:05;SU1459;Own;Moscow
FEDOR;ARSENEVICH;SOTNIKOV;Male;07/20/1994;8 371 986 338;Not presented;6,12376E+15;Transit;13.01.2017;8:05;SU1459;Own;Moscow
TAMARA;I.;TIMOFEEVA;Female;12/27/1995;4 018 734 318;Not presented;Not presented;Registered;13.01.2017;8:05;SU1459;Own;Moscow
IAROSLAV;E.;EMELIANOV;Male;12.12.1988;550 572 974;IRVLIO;Not presented;Transit;13.01.2017;8:05;SU1459;Own;Moscow
MARAT;DANILOVICH;KLIUEV;Male;08.12.1979;6 252 079 751;Not presented;Not presented;Delayed;13.01.2017;8:05;SU1459;Own;Moscow
RODION;M.;CHERNYKH;Male;01/16/1990;6 735 613 581;Not presented;4,51129E+15;None;13.01.2017;8:05;SU1459;Own;Moscow
RADMIR;M.;SINITSYN;Male;06.06.1977;803 989 712;SGIUOL;1,56738E+15;Transit;13.01.2017;8:05;SU1459;Own;Moscow
SAVVA;STANISLAVOVICH;MATVEEV;Male;06/14/1974;2 376 391 944;Not presented;Not presented;Registered;16.06.2017;2:50;SU1251;Own;Nizhnekamsk
EDUARD;VIKTOROVICH;NIKITIN;Male;06/25/1985;3 119 061 454;Not presented;Not presented;Registered;22.03.2017;10:15;SU1307;Own;Moscow
TAMERLAN;MIROSLAVOVICH;ANTIPOV;Male;07/22/1976;3 384 131 110;Not presented;Not presented;Delayed;22.03.2017;10:15;SU1307;Own;Moscow
ELVIRA;VALEREVNA;VLADIMIROVA;Female;12/28/1975;3 757 369 130;VBFJLR;Not presented;Delayed;24.03.2017;20:45;SU1442;Own;Irkutsk
DAVID;LVOVICH;MERKULOV;Male;07/13/1976;3 861 090 716;EVLDYI;Not presented;Transit;24.03.2017;20:45;SU1442;Own;Irkutsk
ELMIRA;ARTEMEVNA;KOZHEVNIKOVA;Female;06/22/2000;7 316 631 177;HNHKEH;Not presented;Delayed;14.05.2017;18:05;SU1213;Own;Moscow
LARISA;RINATOVNA;DRUZHININA;Female;09.06.1970;5 321 248 459;RNHKBD;6,56596E+14;Registered;14.05.2017;18:05;SU1213;Own;Moscow
ALBERT;ARTUROVICH;DAVYDOV;Male;01/25/1988;2 063 124 217;SXGORL;4,38794E+15;Registered;24.07.2017;16:50;SU1362;Own;Saratov
ARTUR;S.;ZHAROV;Male;07.06.1984;4 963 951 772;Not presented;6,1029E+15;None;27.02.2017;0:15;SU1206;Own;Samara
TATIANA;DAVIDOVNA;KONSTANTINOVA;Female;01/19/1977;9 304 518 184;FQRZKY;Not presented;None;27.02.2017;0:15;SU1206;Own;Samara
LEONID;D.;VINOGRADOV;Male;07/28/1998;3 663 646 985;Not presented;3,2381E+13;None;24.02.2017;6:05;SU1397;Own;Moscow
IAN;SVIATOSLAVOVICH;BORISOV;Male;09/23/1974;8 692 668 325;WWKNUM;Not presented;None;24.02.2017;6:05;SU1397;Own;Moscow
SAVELII;I.;ZUBOV;Male;03/24/1985;2 488 060 632;NLZDPH;Not presented;None;24.02.2017;6:05;SU1397;Own;Moscow
ANTONINA;IAROMIROVNA;FIRSOVA;Female;11/16/1982;1 184 658 716;Not presented;6,25676E+15;Transit;19.06.2017;1:50;SU1184;Own;Volgograd
MARIIA;DANIILOVNA;OVSIANNIKOVA;Female;07/16/2000;7 131 931 735;Not presented;Not presented;Delayed;30.01.2017;14:15;SU1439;Own;Moscow
VALENTINA;IUREVNA;KIREEVA;Female;07/21/1980;4 443 671 979;Not presented;4,15233E+15;Delayed;30.01.2017;14:15;SU1439;Own;Moscow
DMITRII;MAKSIMOVICH;KRASNOV;Male;03/31/1993;7 255 780 119;Not presented;Not presented;None;30.01.2017;14:15;SU1439;Own;Moscow
KSENIIA;IANOVNA;ZAITSEVA;Female;09.12.1978;1 300 937 398;Not presented;Not presented;Transit;23.06.2017;6:05;SU1356;Own;Saratov
ALISA;TAMERLANOVNA;BONDAREVA;Female;05/14/1983;3 755 790 744;DFNQTP;6,45694E+15;Delayed;23.01.2017;5:05;SU1409;Own;Moscow
VLADIMIR;DANIELEVICH;TRIFONOV;Male;05/13/1989;566 115 105;POLTTF;Not presented;Delayed;23.01.2017;5:05;SU1409;Own;Moscow
IULIIA;G.;VORONTSOVA;Female;10/17/1972;1 662 830 285;HSKYTP;Not presented;None;23.01.2017;5:05;SU1409;Own;Moscow
NATASHA;D.;DROZDOVA;Female;09/25/1991;6 334 695 778;JEMHNL;Not presented;Delayed;23.01.2017;5:05;SU1409;Own;Moscow
LIUBOV;TAMERLANOVNA;IZMAILOVA;Female;03.05.1987;4 909 066 769;Not presented;5,36452E+15;None;23.01.2017;5:05;SU1409;Own;Moscow
ALEKSANDR;S.;MERKULOV;Male;09/30/1994;3 143 702 553;JFKYCJ;7,33108E+15;Delayed;16.02.2017;5:05;SU1409;Own;Moscow
ALEKSEI;ALBERTOVICH;SHCHEGLOV;Male;02/22/1986;417 014 583;DLHROH;8,85177E+15;None;08.03.2017;10:55;SU1280;Own;Kazan
SAVELII;M.;TKACHEV;Male;03/14/1983;9 474 654 931;STRSOO;Not presented;Registered;25.03.2017;6:25;SU1235;Own;Moscow
DANILA;E.;ASTAKHOV;Male;03/28/2000;4 260 590 460;Not presented;Not presented;Transit;18.01.2017;18:00;SU1253;Own;Nizhnekamsk
KARINA;G.;TRIFONOVA;Female;08.08.1995;9 309 028 073;Not presented;2,06022E+15;None;18.01.2017;18:00;SU1253;Own;Nizhnekamsk
ANATOLII;E.;SALNIKOV;Male;07/22/1995;7 529 414 902;IDAQAO;6,58924E+15;Transit;18.01.2017;18:00;SU1253;Own;Nizhnekamsk
VITALII;V.;KUZMIN;Male;05/15/1991;4 145 670 833;Not presented;6,70417E+15;Delayed;21.04.2017;9:55;SU1479;Own;Moscow
FILIPP;A.;SEDOV;Male;10.06.1973;4 478 046 214;Not presented;Not presented;Transit;29.04.2017;8:30;SU1639;Own;Moscow
IAROSLAVA;F.;BOGOMOLOVA;Female;04.04.1988;4 081 412 689;TAUGMG;7,99431E+15;None;29.01.2017;14:20;SU4605;Operated;Okha
VASILII;VALEREVICH;LEONTEV;Male;10.06.1996;521 187 308;XZRQYW;Not presented;None;29.01.2017;14:20;SU4605;Operated;Okha
BOGDAN;A.;PARAMONOV;Male;03/21/1988;7 601 558 962;WLICJB;Not presented;Delayed;29.01.2017;14:20;SU4605;Operated;Okha
DANILA;I.;FILATOV;Male;04/26/1989;9 657 311 664;LLMHKY;Not presented;Registered;13.02.2017;6:40;SU1434;Own;Magnitogorsk
LEV;A.;KOZHEVNIKOV;Male;12.07.1985;8 003 630 400;WKVKDA;1,29657E+15;Delayed;13.02.2017;6:40;SU1434;Own;Magnitogorsk
BORIS;M.;KHROMOV;Male;10/29/1998;2 549 580 581;Not presented;7,84831E+15;Registered;13.02.2017;6:40;SU1434;Own;Magnitogorsk
ANGELINA;DANILOVNA;SYCHEVA;Female;08.12.1993;5 581 828 718;Not presented;Not presented;Transit;13.02.2017;6:40;SU1434;Own;Magnitogorsk
ARINA;V.;GOROKHOVA;Female;06.04.1983;7 891 950 227;Not presented;Not presented;Delayed;13.02.2017;6:40;SU1434;Own;Magnitogorsk
STANISLAV;R.;PLOTNIKOV;Male;08/13/1975;4 283 657 983;Not presented;9,53712E+15;None;22.06.2017;15:30;SU1419;Own;Moscow
VSEVOLOD;N.;GERASIMOV;Male;12.07.1977;1 980 332 676;Not presented;Not presented;None;19.02.2017;11:10;SU5605;Own;Vladivostok
NINA;A.;BELKINA;Female;03.12.1986;3 410 455 773;Not presented;3,81771E+15;None;23.04.2017;11:10;SU1255;Own;Nizhnekamsk
ARTUR;VLADIMIROVICH;VORONKOV;Male;02.04.1980;1 723 617 716;MLAOPE;2,25379E+15;None;17.08.2017;20:00;SU1008;Own;Kaliningrad
DENIS;P.;KOSHELEV;Male;01.08.1981;7 095 892 328;Not presented;2,02254E+15;Registered;28.02.2017;9:00;SU4599;Operated;Nogliki
